currency,city,meal,mcmeal,beer restaurant,milk,rice,potato,water,cigarettes,coffee,ticket,rent,country,latitude,longitude,group,cityproper,overall_rank
€,Aachen,"['Meal, Inexpensive Restaurant ', 12.0, 30]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.0, 41]","['Milk (regular), (1 liter) ', 1.03, 57]","['Rice (white), (1kg) ', 2.82, 20]","['Potato (1kg) ', 1.46, 51]","['Water (1.5 liter bottle) ', 0.72, 59]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.2, 58]","['One-way Ticket (Local Transport) ', 3.0, 27]","['Apartment (3 bedrooms) in City Centre ', 1325.0, 97]", Germany,50.7753455,6.0838868,2,Aachen,89
€,Aberdeen,"['Meal, Inexpensive Restaurant ', 18.99, 9]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.29, 34]","['Domestic Beer (0.5 liter draught) ', 4.75, 33]","['Milk (regular), (1 liter) ', 1.91, 3]","['Rice (white), (1kg) ', 2.68, 33]","['Potato (1kg) ', 0.8, 90]","['Water (1.5 liter bottle) ', 1.07, 30]","['Cigarettes 20 Pack (Marlboro) ', 16.61, 5]","['Cappuccino (regular) ', 4.02, 15]","['One-way Ticket (Local Transport) ', 3.86, 7]","['Apartment (3 bedrooms) in City Centre ', 1351.42, 92]", United Kingdom,57.1498891,-2.0937528,1,Aberdeen,39
€,Alcala-de Henares Spain,"['Meal, Inexpensive Restaurant ', 13.5, 22]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 8.0, 37]","['Domestic Beer (0.5 liter draught) ', 3.5, 48]","['Milk (regular), (1 liter) ', 1.08, 52]","['Rice (white), (1kg) ', 1.37, 105]","['Potato (1kg) ', 1.37, 58]","['Water (1.5 liter bottle) ', 0.74, 57]","['Cigarettes 20 Pack (Marlboro) ', 5.5, 48]","['Cappuccino (regular) ', 2.2, 90]","['One-way Ticket (Local Transport) ', 2.1, 44]","['Apartment (3 bedrooms) in City Centre ', 1200.0, 112]", Spain,40.4843898,-3.3688023,2,Alcala-de Henares ,133
€,Alicante,"['Meal, Inexpensive Restaurant ', 13.0, 25]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.0, 27]","['Domestic Beer (0.5 liter draught) ', 2.5, 61]","['Milk (regular), (1 liter) ', 1.09, 51]","['Rice (white), (1kg) ', 1.2, 113]","['Potato (1kg) ', 1.35, 60]","['Water (1.5 liter bottle) ', 0.59, 69]","['Cigarettes 20 Pack (Marlboro) ', 5.12, 58]","['Cappuccino (regular) ', 1.82, 105]","['One-way Ticket (Local Transport) ', 1.5, 51]","['Apartment (3 bedrooms) in City Centre ', 1279.99, 102]",Spain,38.3459963,-0.4906855,2,Alicante,141
€,Amsterdam,"['Meal, Inexpensive Restaurant ', 20.0, 6]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 13.0, 5]","['Domestic Beer (0.5 liter draught) ', 6.0, 17]","['Milk (regular), (1 liter) ', 1.17, 45]","['Rice (white), (1kg) ', 2.55, 44]","['Potato (1kg) ', 1.81, 27]","['Water (1.5 liter bottle) ', 0.8, 51]","['Cigarettes 20 Pack (Marlboro) ', 11.0, 18]","['Cappuccino (regular) ', 3.97, 16]","['One-way Ticket (Local Transport) ', 3.4, 13]","['Apartment (3 bedrooms) in City Centre ', 3401.32, 6]",Netherlands,52.3675734,4.9041389,2,Amsterdam,9
€,Antwerp,"['Meal, Inexpensive Restaurant ', 20.0, 6]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 10.0, 15]","['Domestic Beer (0.5 liter draught) ', 4.0, 41]","['Milk (regular), (1 liter) ', 1.22, 41]","['Rice (white), (1kg) ', 2.54, 45]","['Potato (1kg) ', 2.33, 6]","['Water (1.5 liter bottle) ', 0.85, 46]","['Cigarettes 20 Pack (Marlboro) ', 8.5, 27]","['Cappuccino (regular) ', 3.52, 38]","['One-way Ticket (Local Transport) ', 2.5, 37]","['Apartment (3 bedrooms) in City Centre ', 1490.0, 76]",Belgium,51.2213404,4.4051485,2,Antwerp,55
€,Athens,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 9.0, 27]","['Domestic Beer (0.5 liter draught) ', 5.0, 30]","['Milk (regular), (1 liter) ', 1.55, 19]","['Rice (white), (1kg) ', 2.51, 47]","['Potato (1kg) ', 1.14, 72]","['Water (1.5 liter bottle) ', 0.87, 44]","['Cigarettes 20 Pack (Marlboro) ', 4.6, 64]","['Cappuccino (regular) ', 3.42, 44]","['One-way Ticket (Local Transport) ', 1.2, 54]","['Apartment (3 bedrooms) in City Centre ', 1083.9, 126]",Greece,37.9838096,23.7275388,2,Athens,108
€,Barcelona,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 11.0, 10]","['Domestic Beer (0.5 liter draught) ', 3.5, 48]","['Milk (regular), (1 liter) ', 1.06, 54]","['Rice (white), (1kg) ', 1.61, 95]","['Potato (1kg) ', 1.68, 34]","['Water (1.5 liter bottle) ', 0.79, 52]","['Cigarettes 20 Pack (Marlboro) ', 5.48, 49]","['Cappuccino (regular) ', 2.3, 88]","['One-way Ticket (Local Transport) ', 2.55, 36]","['Apartment (3 bedrooms) in City Centre ', 2054.53, 37]",Spain,41.3873974,2.168568,2,Barcelona,87
€,Bari,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 11.0, 10]","['Domestic Beer (0.5 liter draught) ', 3.25, 50]","['Milk (regular), (1 liter) ', 1.57, 17]","['Rice (white), (1kg) ', 2.33, 54]","['Potato (1kg) ', 1.35, 60]","['Water (1.5 liter bottle) ', 0.64, 65]","['Cigarettes 20 Pack (Marlboro) ', 5.5, 48]","['Cappuccino (regular) ', 1.56, 118]","['One-way Ticket (Local Transport) ', 1.15, 55]","['Apartment (3 bedrooms) in City Centre ', 1266.67, 106]",Italy,41.1171432,16.8718715,2,Bari,130
€,Berlin,"['Meal, Inexpensive Restaurant ', 15.0, 16]","['McMeal at McDonalds (or Equivalent Combo Meal) ', 11.0, 10]","['Domestic Beer (0.5 liter draught) ', 4.1, 40]","['Milk (regular), (1 liter) ', 1.08, 52]","['Rice (white), (1kg) ', 2.83, 19]","['Potato (1kg) ', 1.7, 32]","['Water (1.5 liter bottle) ', 0.83, 48]","['Cigarettes 20 Pack (Marlboro) ', 8.2, 29]","['Cappuccino (regular) ', 3.69, 29]","['One-way Ticket (Local Transport) ', 3.5, 11]","['Apartment (3 bedrooms) in City Centre ', 2323.6, 22]",Germany,52.5200066,13.404954,2,Berlin,23
